"Gender","Adult","Face_Angle","Image_Color","Image_Quality","Image_Type","Context","Multiface","Race","Smile","Area"
"male",1,1,1,"good",0,"cover",0,"white",NA,183315
"male",1,1,0,"good",1,"ad",0,"white",NA,70840
"male",1,1,0,"good",0,"ad",0,"white",NA,NA
"male",1,0,0,"good",0,"ad",0,"white",1,NA
"male",1,0,0,"good",1,"feature",1,"white",0,15720
"male",1,0,0,"good",1,"feature",1,"white",NA,15708
"male",1,0,0,"fair",1,"feature",1,"white",NA,NA
"male",1,1,0,"good",1,"feature",1,"white",0,6804
"female",1,1,0,"good",1,"feature",0,"white",1,40406
"male",1,1,0,"good",1,"feature",0,"white",NA,47268
"female",1,1,0,"good",1,"feature",1,"white",1,8536
"female",0,1,0,"fair",0,"feature",1,"white",NA,NA
"female",0,1,0,"good",1,"feature",1,"white",0,12420
"male",0,1,0,"fair",1,"ad",1,"white",1,11781
"male",1,0,0,"good",1,"feature",0,"white",0,23125
"male",1,1,0,"good",1,"feature",0,"white",1,64740
"male",1,1,1,"good",1,"feature",0,"white",0,42785
"male",1,1,0,"good",1,"feature",0,"white",0,47264
"male",1,0,0,"good",1,"feature",0,"white",NA,35112
"male",1,1,0,"fair",1,"feature",0,"white",NA,19448
"male",1,0,0,"fair",1,"feature",0,"white",0,63450
"male",1,1,0,"fair",1,"feature",1,"white",1,2958
"male",0,0,0,"fair",1,"feature",1,"white",NA,2280
"female",0,0,0,"fair",1,"feature",1,"white",1,1974
"male",1,0,0,"fair",1,"feature",0,"white",NA,45276
"male",1,1,0,"fair",1,"feature",1,"unknown",NA,62702
"male",1,1,0,"fair",1,"feature",0,"white",NA,16660
"male",1,1,0,"fair",1,"feature",1,"white",NA,10812
"female",1,1,1,"good",1,"feature",0,"white",1,8415
"male",1,1,0,NA,1,"ad",1,"white",0,16698
"female",1,1,0,"good",1,"cover",1,"white",1,7920
"male",1,1,0,"fair",1,"feature",1,"white",NA,4988
"male",1,1,0,"fair",1,"feature",1,"white",NA,4824
"male",0,1,0,"good",1,"ad",0,"white",1,50287.5
"male",1,1,0,"fair",1,"feature",0,"white",0,NA
"male",1,1,0,"fair",1,"feature",0,"white",0,6688
"female",1,1,0,"good",0,"ad",0,"black",0,4514
"female",1,1,0,"fair",0,"ad",1,"white",NA,3540
"female",1,1,0,"good",0,"ad",1,"white",0,3960
"female",1,1,0,NA,1,"ad",1,"white",NA,NA
"female",1,1,0,"good",1,"ad",1,"white",0,7224
"male",1,1,0,"fair",1,"ad",1,"white",1,9632
"unknown",0,1,0,"good",1,"feature",0,"unknown",0,5934
"male",1,1,0,"good",1,"feature",1,"white",0,33320
"male",1,0,0,NA,1,"author",1,"pacificislander",NA,52756
"male",1,1,1,"fair",0,"feature",1,"white",0,4092
"male",1,1,1,"good",0,"feature",0,"white",1,19712
"male",1,1,0,"good",1,"cover",1,"white",NA,30030
"male",1,1,0,"good",1,"feature",1,"white",0,33784
"unknown",1,1,1,"good",0,"feature",0,"white",NA,5775
"female",1,1,1,"fair",0,"ad",1,"white",1,5329
"male",1,0,0,"fair",0,"author",0,"unknown",0,5168
"male",1,1,0,"good",0,"ad",1,"white",NA,5928
"female",1,1,0,"good",1,"feature",0,"white",NA,133200
"male",1,1,0,"good",1,"ad",0,"white",1,64842
"male",1,0,0,"fair",1,"cover",0,"white",0,3808
"male",1,1,0,"fair",0,"feature",0,"white",NA,81252
"male",1,0,0,"fair",1,"ad",1,"white",NA,6768
"male",1,1,0,"fair",0,"ad",1,"white",NA,6003
"male",1,1,0,NA,1,"ad",1,"white",0,2867
"male",1,1,0,"good",1,"feature",0,"white",0,33660
"male",1,1,0,"good",0,"ad",1,"white",0,10170
"male",1,1,0,"fair",0,"feature",1,"white",1,8362
"male",1,0,0,NA,0,"author",0,"unknown",0,11118
"male",1,0,0,NA,0,"ad",1,"white",NA,12412
"male",1,0,0,"good",0,"ad",1,"white",NA,10032
"male",1,1,0,"good",1,"feature",1,"white",0,38220
"male",1,1,0,"good",0,"ad",1,"white",1,5304
"male",1,1,0,"fair",0,"ad",1,"white",1,3016
"male",1,1,0,"good",1,"feature",1,"asian",1,6800
"male",1,0,0,"fair",0,"ad",1,"white",0,4416
"male",1,1,0,"good",1,"feature",0,"white",0,39798
"male",1,1,0,"good",0,"ad",1,"white",0,28416
"male",1,0,0,"good",0,"ad",1,"white",0,25650
"male",1,1,0,"fair",0,"ad",1,"white",0,3953
"female",1,0,0,"good",1,"feature",0,"white",1,20769
"male",1,0,0,"good",1,"ad",1,"white",0,24992
"male",1,1,0,"good",1,"feature",1,"white",0,22360
"male",1,1,0,"good",1,"ad",1,"white",0,19257
"male",1,1,1,"fair",0,"cover",0,"white",0,37800
"male",1,1,0,"good",0,"cover",0,"white",1,5589
"female",1,1,1,NA,1,"ad",1,"white",1,4331
"male",1,0,0,"fair",1,"ad",1,"white",0,45288
"male",1,1,0,"fair",1,"feature",1,"white",0,4340
"male",1,0,0,"fair",1,"feature",1,"white",0,2784
"male",1,1,0,"good",1,"feature",1,"white",0,31755
"male",1,1,0,"good",1,"feature",0,"white",0,27714
"male",1,1,0,"fair",1,"feature",0,"white",0,29580
"male",1,1,0,"good",1,"feature",0,"white",0,30150
"male",1,1,0,"good",1,"feature",1,"white",0,29336
"male",1,0,1,"fair",1,"author",0,"white",0,40352
"male",1,1,0,"good",1,"feature",1,"white",NA,8961
"male",1,1,0,"fair",1,"feature",1,"white",0,7802
"male",1,1,0,"good",1,"feature",1,"white",0,5251
"male",1,1,0,"fair",1,"feature",1,"white",NA,4071
"male",1,1,0,"good",1,"feature",0,"white",0,24192
"male",1,1,0,NA,1,"ad",1,"asian",1,100835
"male",1,1,0,"good",1,"feature",0,"white",NA,87132
"male",1,1,0,"fair",1,"feature",0,"white",0,51529
"male",1,1,0,"fair",1,"feature",0,"white",0,52685
"male",1,1,0,"good",1,"feature",1,"white",1,32617
"male",1,1,0,"good",1,"feature",0,"black",NA,21930
"male",1,1,0,"good",1,"feature",0,"white",0,16074
"male",1,1,0,"fair",1,"feature",0,"asian",0,5922
"male",1,0,0,"fair",1,"feature",1,"asian",1,12328
"male",1,0,0,"good",1,"feature",0,"white",1,14140
"male",0,1,0,NA,1,"ad",0,"white",NA,8924
"female",1,0,0,"fair",1,"feature",1,"white",1,10573
"female",1,0,0,"fair",1,"feature",1,"white",1,6390
"male",1,0,0,"fair",1,"feature",1,"white",NA,12573
"female",1,0,0,"good",1,"feature",1,"white",1,5148
"male",1,0,0,"fair",1,"feature",1,"white",NA,4284
"male",1,1,0,"good",1,"feature",0,"white",NA,34776
"male",1,1,0,"fair",1,"feature",1,"white",NA,15810
"female",1,1,0,"good",1,"feature",1,"white",1,15568
"female",0,1,0,"good",1,"feature",1,"white",NA,6006
"male",1,1,0,"fair",1,"feature",1,"asian",0,7392
"male",0,1,1,"good",1,"feature",0,"white",NA,34560
"male",1,0,0,"good",1,"ad",0,"white",1,7920
"male",1,1,0,"good",1,"feature",0,"white",1,7811
"male",1,1,0,"good",1,"feature",0,"white",NA,11772
"male",1,1,0,"fair",1,"ad",0,"white",0,NA
"female",1,0,1,"fair",1,"ad",1,"white",NA,6391
"male",1,1,1,"good",1,"feature",1,"asian",NA,5538
"female",1,1,1,NA,1,"ad",0,"white",NA,5396
"female",1,0,1,"fair",0,"ad",1,"white",NA,3420
"male",1,0,1,"fair",1,"cover",1,"white",0,4550
"male",1,0,1,"good",1,"ad",0,"white",0,7656
"male",1,0,0,"fair",1,"feature",0,"white",0,62678
"male",1,1,0,"fair",1,"feature",1,"white",NA,4774
"male",1,1,0,"good",1,"feature",0,"white",1,6586
"male",1,0,0,NA,1,"ad",0,"white",0,NA
"male",1,0,0,"good",1,"cover",1,"white",1,NA
"female",1,0,0,"good",1,"ad",1,"white",1,NA
"female",1,0,0,"good",1,"feature",1,"white",NA,NA
"male",1,1,0,"fair",1,"feature",1,"white",NA,12198
"female",1,1,1,"good",1,"feature",1,"asian",NA,5852
"male",1,1,1,"good",1,"feature",1,"asian",1,81360
"male",1,1,0,"good",1,"cover",0,"white",0,56224
"female",1,1,0,"fair",1,"cover",1,"white",0,6643
"female",1,0,0,"fair",1,"cover",1,"white",1,3008
"male",1,0,0,"good",1,"feature",0,"white",0,4500
"male",1,1,1,"fair",1,"ad",0,"white",0,95654
"male",1,1,1,"good",1,"ad",0,"white",0,124683
"male",1,1,0,"fair",0,"ad",0,"white",1,5832
"male",1,1,0,"good",1,"feature",0,"white",0,152685
"female",1,1,0,"fair",1,"feature",0,"white",NA,12051
"male",1,1,0,"fair",1,"feature",0,"white",NA,40480
"male",1,1,1,"good",1,"feature",0,"white",NA,NA
"male",1,1,0,"fair",1,"feature",1,"white",NA,3132
"male",1,1,1,"fair",1,"feature",0,"white",0,7950
"male",1,1,0,"good",1,"ad",1,"white",0,38872
"male",1,1,0,"good",1,"feature",1,"white",0,13552
"female",1,0,0,"fair",1,"feature",1,"white",0,10464
"male",1,1,1,"good",1,"ad",0,"white",1,20216
"male",1,1,0,"good",1,"feature",0,"white",0,34188
"male",1,1,0,"good",1,"feature",0,"white",1,15052
"male",1,1,0,NA,1,"author",1,"white",0,NA
"male",1,1,0,"fair",1,"feature",1,"white",1,28906
"male",1,1,0,"fair",1,"feature",0,"white",0,32928
"male",1,1,0,"fair",1,"feature",1,"white",NA,14040
"male",1,1,1,NA,0,"ad",0,"white",1,19380
"female",1,0,0,"fair",1,"feature",1,"white",0,4950
"male",1,1,0,"fair",1,"feature",1,"white",0,6402
"female",1,1,0,NA,0,"ad",1,"white",NA,6072
"female",1,1,0,"good",0,"ad",1,"white",1,5120
"unknown",1,0,0,"good",1,"ad",0,"unknown",0,279377
"female",1,1,0,"fair",1,"feature",1,"white",0,13184
"female",1,1,0,"fair",1,"feature",1,"white",NA,5829
"male",1,1,0,"good",0,"ad",1,"white",NA,NA
"female",1,0,0,"good",0,"ad",1,"white",1,5550
"female",1,1,0,"fair",0,"ad",0,"white",0,6723
"male",1,0,0,"fair",1,"feature",0,"white",0,2860
"male",1,1,0,"good",1,"ad",0,"white",0,170376
"male",1,1,0,"good",1,"feature",0,"black",0,22331
"male",1,1,0,"good",1,"feature",0,"white",0,99968
"female",1,0,0,"fair",0,"feature",0,"white",NA,17980
"male",1,1,0,"good",1,"feature",0,"white",0,63336
"male",1,1,0,"good",1,"ad",0,"white",1,9758
"male",1,1,1,"good",1,"ad",0,"white",NA,16166
"male",1,1,0,"fair",1,"ad",0,"white",NA,NA
"female",1,1,1,"fair",0,"ad",1,"white",1,10881
"female",1,1,1,"fair",1,"ad",1,"white",NA,8585
"male",1,0,0,"fair",0,"cover",0,"white",0,17700
"male",1,0,0,"fair",1,"cover",1,"white",0,9592
"unknown",0,1,0,"good",0,"feature",1,"unknown",0,8632
"male",1,1,0,"fair",1,"feature",1,"white",0,18876
"male",1,0,0,"good",1,"feature",1,"white",NA,20850
"male",1,0,0,"fair",1,"feature",1,"white",0,22278
"male",1,1,1,"good",0,"ad",1,"white",1,15768
"male",1,0,1,"good",1,"ad",1,"white",0,17286
"male",1,1,1,"good",1,"ad",1,"asian",0,20898
"male",1,0,0,"good",1,"feature",1,"white",1,13900
"female",1,1,0,"fair",1,"feature",1,"white",1,6090
"male",1,1,0,"fair",1,"feature",1,"unknown",0,4029
"male",1,0,0,"fair",1,"feature",1,"asian",1,10656
"male",1,1,0,"good",1,"feature",1,"white",1,15048
"male",1,0,0,"good",1,"feature",1,"white",1,20002
"male",1,1,0,"fair",1,"feature",1,"asian",0,15312
"male",1,0,0,"good",1,"feature",1,"white",NA,15104
"male",1,1,0,NA,0,"author",1,"white",0,14238
"male",1,1,0,"fair",1,"feature",1,"white",NA,8732
"female",1,1,0,"fair",1,"feature",1,"white",1,35738
"female",1,0,0,"good",1,"feature",1,"white",1,12090
"male",1,1,0,"fair",1,"feature",1,"black",NA,9464
"male",1,1,1,"fair",1,"feature",0,"black",0,8928
"male",1,1,0,"good",1,"ad",0,"black",0,10323
"female",1,0,0,"fair",1,"ad",1,"white",1,23328
"female",1,1,0,"good",1,"ad",1,"white",1,17545
"female",1,1,0,"fair",1,"ad",0,"white",NA,3328
"male",1,1,0,"good",1,"feature",0,"white",1,40546
"unknown",0,0,0,"good",1,"ad",0,"white",NA,NA
"male",1,0,0,"fair",1,"feature",1,"white",NA,NA
"male",1,0,0,"fair",1,"feature",1,"white",1,41567
"female",1,0,0,"fair",0,"ad",1,"white",1,7272
"male",1,1,1,"fair",0,"cover",1,"white",1,6435
"male",1,0,1,"good",0,"ad",1,"white",NA,12125
"female",1,1,1,NA,0,"ad",1,"white",1,NA
"female",1,1,1,"fair",0,"feature",1,"pacificislander",1,13908
"female",1,0,1,"good",0,"ad",1,"white",0,21573
"male",1,1,0,"fair",1,"feature",1,"white",0,13860
"male",1,1,0,"fair",1,"feature",0,"white",0,13260
"male",1,1,0,"good",1,"feature",0,"white",NA,NA
"male",1,1,0,"good",0,"ad",0,"white",NA,NA
"male",1,1,0,"good",1,"ad",0,"white",1,NA
"male",1,1,0,"good",1,"feature",0,"white",0,10560
"male",1,1,0,"good",1,"feature",1,"white",NA,27939
"male",1,1,0,"fair",1,"feature",1,"white",0,33400
"male",1,1,0,"good",1,"feature",0,"black",0,13824
"male",1,1,0,"fair",1,"feature",0,"white",NA,28188
"male",1,1,0,"fair",1,"feature",1,"white",0,31200
"male",1,1,0,"good",1,"feature",0,"white",NA,30240
"male",1,1,0,"fair",1,"feature",0,"white",1,5616
"male",1,1,0,NA,1,"author",1,"white",0,8240
"male",1,1,0,"fair",1,"ad",0,"white",0,21195
"male",1,1,0,"good",1,"feature",1,"white",1,12032
"female",1,0,1,"good",1,"feature",0,"pacificislander",NA,4800
"female",1,0,1,"fair",0,"ad",0,"white",0,15892
"female",1,1,0,"good",1,"ad",1,"asian",1,7533
"female",1,1,0,"fair",1,"ad",1,"asian",NA,5695
"male",1,1,0,"fair",1,"ad",0,"white",NA,13875
"male",1,0,0,"fair",1,"feature",1,"black",NA,NA
"female",1,1,0,"good",1,"feature",0,"asian",0,4891
"male",1,1,0,NA,0,"ad",1,"white",NA,39130
