"Tag_Group","Gender","Age","Race","Location","Prof_Score"
"167.2.2","female","36-45","white","North America",0.805555555555556
"168.2.2","male","26-35","asian","Asia",0.81875
"169.2.2","female","26-35","white","North America",0.863157894736842
"17.2.2","male","36-45","asian","Asia",0.815384615384615
"170.2.2","male","26-35","white","North America",0.877777777777778
"171.2.2","male","26-35","asian","Asia",0.788888888888889
"172.2.2","male","26-35","asian","Asia",0.852631578947369
"173.2.2","female","26-35","white","North America",0.847058823529412
"174.2.2","female","36-45","unknown","North America",0.785
"175.2.2","female","66+","white","North America",0.814285714285714
"176.2.2","female","46-55","white","North America",0.833333333333333
"177.2.2","female","36-45","unknown","North America",0.83125
"178.2.2","male","26-35","white","North America",0.829411764705882
"179.2.2","female","36-45","white","North America",0.866666666666667
"18.2.2","male","46-55","white","North America",0.855
"180.2.2","male","26-35","asian","Asia",0.794736842105263
"181.2.2","female","26-35","asian","Asia",0.74
"182.2.2","male","36-45","asian","Asia",0.705555555555555
"183.2.2","male","26-35","white","North America",0.894117647058824
"184.2.2","male","36-45","asian","Asia",0.826315789473684
"185.2.2","male","26-35","white","Asia",0.747368421052632
"186.2.2","female","36-45","black","North America",0.847058823529412
"187.2.2","male","26-35","white","North America",0.813333333333333
"188.2.2","female","26-35","white","North America",0.789473684210526
"189.2.2","male","26-35","white","North America",0.861111111111111
"19.2.2","female","36-45","unknown","North America",0.842105263157895
"190.2.2","male","26-35","asian","Asia",0.644444444444444
"191.2.2","male","26-35","white","North America",0.811111111111111
"192.2.2","female","46-55","white","North America",0.92
"193.2.2","female","56-65","white","North America",0.847058823529412
"194.2.2","male","26-35","white","North America",0.833333333333333
"195.2.2","male","36-45","white","North America",0.873684210526316
"196.2.2","female","18-25","white","Asia",0.67
"197.2.2","male","18-25","americanin","Asia",0.772727272727273
"198.2.2","female","36-45","white","North America",0.85625
"199.2.2","male","26-35","asian","Asia",0.814285714285714
"2.2.2","male","18-25","asian","Asia",0.821428571428571
"20.2.2","male","26-35","white","North America",0.884615384615385
"200.2.2","male","26-35","asian","Asia",0.744444444444444
"201.2.2","male","26-35","asian","Asia",0.77
"202.2.2","male","26-35","asian","Asia",0.771428571428571
"203.2.2","female","36-45","white","North America",0.855
"204.2.2","male","36-45","asian","Asia",0.747619047619048
"205.2.2","male","26-35","white","Europe",0.892307692307692
"206.2.2","female","26-35","white","North America",0.845
"207.2.2","male","26-35","asian","Asia",0.715
"208.2.2","male","26-35","white","North America",0.857142857142857
"209.2.2","male","26-35","white","North America",0.827777777777778
"21.2.2","female","36-45","white","North America",0.885
"210.2.2","male","26-35","asian","Asia",0.65625
"211.2.2","male","26-35","white","North America",0.81875
"212.2.2","male","36-45","white","North America",0.857894736842105
"213.2.2","male","36-45","asian","North America",0.789473684210526
"214.2.2","male","26-35","white","North America",0.85
"215.2.2","female","36-45","white","North America",0.88421052631579
"216.2.2","female","56-65","white","North America",0.886666666666667
"217.2.2","female","18-25","white","Asia",0.689473684210526
"218.2.2","male","26-35","white","North America",0.833333333333333
"219.2.2","male","36-45","white","South America",0.875
"22.2.2","female","66+","white","North America",0.782352941176471
"220.2.2","male","46-55","black","North America",0.831578947368421
"221.2.2","male","18-25","asian","North America",0.852941176470588
"222.2.2","male","46-55","white","North America",0.865
"223.2.2","male","26-35","white","Europe",0.877777777777778
"224.2.2","male","26-35","white","North America",0.788235294117647
"225.2.2","male","26-35","white","North America",0.766666666666667
"226.2.2","male","36-45","white","North America",0.85625
"227.2.2","male","46-55","white","North America",0.8625
"228.2.2","male","26-35","black","North America",0.847058823529412
"229.2.2","male","26-35","white","North America",0.873684210526316
"23.2.2","female","46-55","white","North America",0.841176470588235
"230.2.2","female","26-35","asian","Asia",0.761111111111111
"231.2.2","female","36-45","white","North America",0.825
"232.2.2","male","26-35","asian","Asia",0.86
"233.2.2","male","26-35","asian","Asia",0.731578947368421
"234.2.2","male","26-35","white","North America",0.844444444444444
"235.2.2","female","66+","white","North America",0.890476190476191
"236.2.2","male","18-25","americanin","Asia",0.761904761904762
"237.2.2","male","46-55","white","North America",0.833333333333333
"238.2.2","male","26-35","white","North America",0.836842105263158
"239.2.2","male","46-55","white","North America",0.865
